timestamp,pupil_left,pupil_right,validity_left,validity_right,event
9380030.683,3.67407,3.36801,0,0,gray
9380047.35,3.68016,3.37337,0,0,gray
9380064.016,3.6813,3.37534,0,0,gray
9380080.683,3.68109,3.37698,0,0,gray
9380097.35,3.68503,3.37747,0,0,gray
9380114.016,3.68835,3.38335,0,0,gray
9380130.683,3.69081,3.38309,0,0,gray
9380147.35,3.69434,3.38432,0,0,gray
9380164.016,3.6946,3.38936,0,0,gray
9380180.683,3.69395,3.38402,0,0,gray
9380197.35,3.69247,3.38528,0,0,gray
9380214.016,3.69632,3.38647,0,0,gray
9380230.683,3.69574,3.3858,0,0,gray
9380247.35,3.69603,3.38681,0,0,gray
9380264.016,3.69263,3.38597,0,0,gray
9380280.683,3.69814,3.38774,0,0,gray
9380297.35,3.7005,3.38876,0,0,gray
9380314.016,3.69624,3.38974,0,0,gray
9380330.683,3.69948,3.38808,0,0,gray
9380347.35,3.70221,3.38779,0,0,gray
9380364.016,3.70467,3.39322,0,0,gray
9380380.683,3.70442,3.39647,0,0,gray
9380397.35,3.7122,3.39716,0,0,gray
9380414.016,3.71422,3.39961,0,0,gray
9380430.683,3.724,3.39877,0,0,gray
9380447.35,3.72633,3.40179,0,0,gray
9380464.016,3.73317,3.40921,0,0,gray
9380480.683,3.74068,3.41385,0,0,gray
9380497.35,3.74724,3.41678,0,0,gray
9380514.016,3.75645,3.42453,0,0,gray
9380530.683,3.76266,3.43027,0,0,gray
9380547.35,3.77437,3.43147,0,0,gray
9380564.016,3.78745,3.4419400000000002,0,0,gray
9380580.683,3.79991,3.4538,0,0,gray
9380597.35,3.81465,3.46205,0,0,gray
9380614.016,3.82028,3.46638,0,0,gray
9380630.683,3.83321,3.48112,0,0,gray
9380647.35,3.84319,3.48531,0,0,gray
9380664.016,3.85725,3.49165,0,0,gray
9380680.683,3.86746,3.50195,0,0,gray
9380697.35,3.87665,3.50417,0,0,gray
9380714.016,3.88982,3.51543,0,0,gray
9380730.683,3.90085,3.52753,0,0,gray
9380747.35,3.9136,3.52806,0,0,gray
9380764.016,3.92267,3.53877,0,0,gray
9380780.683,3.93236,3.54189,0,0,gray
9380797.35,3.94536,3.55334,0,0,gray
9380814.016,3.94987,3.55553,0,0,gray
