id,date,vegan
800009,02-07-2018,0
800015,02-07-2018,0
800054,02-07-2018,0
800057,04-07-2018,0
800073,03-07-2018,0
800085,03-07-2018,0
800100,13-07-2018,0
800115,28-08-2018,0
800128,28-07-2018,0
800131,12-07-2018,0
800161,02-07-2018,0
800170,07-07-2018,0
800186,13-07-2018,0
800201,02-07-2018,0
800204,11-07-2018,0
800216,02-07-2018,0
800228,20-07-2018,0
800244,03-07-2018,0
800274,20-08-2018,0
800289,03-07-2018,0
800360,02-07-2018,0
800372,05-07-2018,0
800440,25-07-2018,0
800445,03-07-2018,0
800463,02-07-2018,0
800497,04-07-2018,0
800500,02-07-2018,0
800512,18-07-2018,0
800543,27-08-2018,0
800561,03-07-2018,0
800570,02-07-2018,0
800573,07-07-2018,0
800637,28-08-2018,0
800659,20-07-2018,0
800665,04-07-2018,0
800671,23-07-2018,0
800674,05-07-2018,0
800677,02-07-2018,0
800683,21-07-2018,0
800695,25-07-2018,0
800701,30-07-2018,0
800714,07-08-2018,0
800750,10-07-2018,0
800762,03-07-2018,0
800775,16-07-2018,0
800778,08-07-2018,0
800848,28-08-2018,0
800869,21-07-2018,0
800881,03-07-2018,0
800894,21-07-2018,0
800900,03-07-2018,0
800903,10-07-2018,0
800909,05-07-2018,0
800918,18-07-2018,0
800994,08-07-2018,0
800997,09-07-2018,0
801004,27-07-2018,0
801031,24-07-2018,0
801055,03-07-2018,0
801068,20-07-2018,0
801132,20-07-2018,0
801141,09-07-2018,0
801144,11-07-2018,0
801153,08-07-2018,0
801156,22-07-2018,0
801162,23-07-2018,0
801165,25-07-2018,0
801174,14-07-2018,0
801205,24-07-2018,0
801214,04-07-2018,0
801229,20-07-2018,0
801245,17-08-2018,0
801257,14-07-2018,0
801272,11-07-2018,0
801287,02-07-2018,0
801300,02-07-2018,0
801330,05-07-2018,0
801361,03-07-2018,0
801370,03-07-2018,0
801373,02-07-2018,0
801388,21-08-2018,0
801412,23-07-2018,0
801452,04-07-2018,0
801467,23-08-2018,0
801470,18-07-2018,0
801480,17-07-2018,0
801486,03-07-2018,0
801498,22-07-2018,0
801504,29-07-2018,0
801535,14-07-2018,0
801544,02-07-2018,0
801550,03-07-2018,0
801556,03-07-2018,0
801559,03-07-2018,0
801568,26-07-2018,0
801574,23-07-2018,0
801577,06-07-2018,0
801589,02-07-2018,0
801599,04-07-2018,0
801602,03-07-2018,0
801626,08-07-2018,0
801635,04-07-2018,0
801654,08-07-2018,0
801657,04-07-2018,0
801748,26-07-2018,0
801754,18-07-2018,0
801763,24-07-2018,0
801776,02-07-2018,0
801782,02-07-2018,0
801809,02-07-2018,0
801818,12-07-2018,0
801849,03-07-2018,0
801855,16-07-2018,0
801858,18-07-2018,0
801876,19-07-2018,0
801914,03-07-2018,1
801947,19-08-2018,0
801953,23-07-2018,0
801962,02-07-2018,0
801986,24-07-2018,0
802032,02-07-2018,0
802035,29-07-2018,0
802072,07-07-2018,0
802096,05-07-2018,0
802117,09-07-2018,0
802136,23-07-2018,0
802145,05-07-2018,0
802154,02-07-2018,0
802188,07-07-2018,0
802236,03-07-2018,0
802252,31-07-2018,0
802264,18-07-2018,0
802322,28-07-2018,0
802340,20-07-2018,0
802346,20-07-2018,0
802355,25-07-2018,0
802391,02-07-2018,0
802395,15-07-2018,0
802398,02-07-2018,0
802416,02-07-2018,0
802471,10-07-2018,0
802493,12-07-2018,0
802551,22-07-2018,0
802575,29-07-2018,1
802578,14-07-2018,0
802584,09-07-2018,0
802587,02-07-2018,0
802593,05-07-2018,0
802597,20-07-2018,0
802612,18-07-2018,0
802636,04-07-2018,0
802679,02-07-2018,0
802761,03-07-2018,0
802783,17-07-2018,0
802835,11-07-2018,0
802850,03-07-2018,0
802859,23-07-2018,0
802871,03-07-2018,0
802883,29-07-2018,0
802902,03-07-2018,0
802911,04-07-2018,0
802947,02-07-2018,0
802960,04-07-2018,0
802981,04-07-2018,0
802984,10-07-2018,0
802987,04-07-2018,0
802999,16-07-2018,0
803012,02-07-2018,0
803033,23-07-2018,0
803054,02-07-2018,0
803063,24-07-2018,0
803076,28-07-2018,0
803099,03-07-2018,0
803100,04-07-2018,0
803125,03-07-2018,0
803128,02-07-2018,0
803137,11-07-2018,0
803152,17-07-2018,0
803157,03-07-2018,0
803182,03-07-2018,0
803201,06-07-2018,0
803210,06-07-2018,0
803268,26-07-2018,0
803280,31-07-2018,0
803338,20-08-2018,0
803356,02-07-2018,0
803366,29-07-2018,0
803378,29-07-2018,0
803445,15-07-2018,0
803454,08-07-2018,0
803472,07-07-2018,0
803500,02-07-2018,0
803503,03-07-2018,0
803506,02-07-2018,0
803515,16-07-2018,0
803530,13-07-2018,0
803536,28-08-2018,0
803540,06-07-2018,0
803555,03-07-2018,0
803567,30-07-2018,0
803570,03-07-2018,0
803573,15-07-2018,0
803582,03-07-2018,0
803619,20-07-2018,0
803628,02-07-2018,0
803662,04-07-2018,0
803674,08-07-2018,0
803695,03-07-2018,0
803717,22-07-2018,0
803723,30-07-2018,0
803729,19-07-2018,0
803732,03-07-2018,0
803747,21-07-2018,0
803765,02-07-2018,0
803787,11-07-2018,0
803796,07-07-2018,0
803799,03-07-2018,0
803802,15-07-2018,0
803805,10-07-2018,0
803829,02-07-2018,0
803854,03-07-2018,0
803863,03-07-2018,0
803906,19-07-2018,0
803924,17-07-2018,0
803927,05-07-2018,0
803936,09-07-2018,0
803952,02-07-2018,0
803958,02-07-2018,0
803961,13-07-2018,0
804000,16-07-2018,0
804019,04-07-2018,0
804031,04-07-2018,0
804037,19-07-2018,0
804049,03-07-2018,0
804067,02-07-2018,0
804074,21-08-2018,0
804077,02-07-2018,0
804085,28-07-2018,0
804098,03-07-2018,0
804104,05-07-2018,0
