number,pro_animals
2021Z05927,1
2021Z13420,1
2021Z05929,0
2021Z10743,1
2021Z10427,0
2021Z10757,0
2021Z16632,1
2021Z13422,0
2021Z05928,1
2021Z10416,1
2021Z10418,1
2021Z05924,1
2021Z10417,1
2021Z05931,1
2021Z13419,1
2021Z16629,0
2021Z17045,-
2021Z10424,-
2021Z16630,-
2021Z13430,0
2021Z16627,1
2021Z10425,-
2021Z13421,1
2021Z05930,0
2021Z10419,1
2021Z10426,-
2021Z16631,-
2021Z05926,1
2021Z17043,-
