"Slachtdieren";"Perioden";"Aantal slachtingen (x 1 000)"
"Varkens (totaal)";"1990";19941,5
"Varkens (totaal)";"1991 januari";1828
"Varkens (totaal)";"1991 februari";1513,9
"Varkens (totaal)";"1991 maart";1618,1
"Varkens (totaal)";"1991 april";1560,8
"Varkens (totaal)";"1991 mei";1740,8
"Varkens (totaal)";"1991 juni";1488,6
"Varkens (totaal)";"1991 juli";1683,7
"Varkens (totaal)";"1991 augustus";1445,4
"Varkens (totaal)";"1991 september";1422,9
"Varkens (totaal)";"1991 oktober";1565,6
"Varkens (totaal)";"1991 november";1455,3
"Varkens (totaal)";"1991 december";1441,2
"Varkens (totaal)";"1991";18764,3
"Varkens (totaal)";"1992 januari";1563,8
"Varkens (totaal)";"1992 februari";1479,1
"Varkens (totaal)";"1992 maart";1499
"Varkens (totaal)";"1992 april";1457,6
"Varkens (totaal)";"1992 mei";1422,6
"Varkens (totaal)";"1992 juni";1519,5
"Varkens (totaal)";"1992 juli";1590,5
"Varkens (totaal)";"1992 augustus";1436,1
"Varkens (totaal)";"1992 september";1685,1
"Varkens (totaal)";"1992 oktober";1686
"Varkens (totaal)";"1992 november";1716,5
"Varkens (totaal)";"1992 december";1733,1
"Varkens (totaal)";"1992";18788,9
"Varkens (totaal)";"1993 januari";1650,4
"Varkens (totaal)";"1993 februari";1490,1
"Varkens (totaal)";"1993 maart";1959,6
"Varkens (totaal)";"1993 april";1688,6
"Varkens (totaal)";"1993 mei";1482
"Varkens (totaal)";"1993 juni";1751,9
"Varkens (totaal)";"1993 juli";1695,6
"Varkens (totaal)";"1993 augustus";1717,4
"Varkens (totaal)";"1993 september";1735
"Varkens (totaal)";"1993 oktober";1683,6
"Varkens (totaal)";"1993 november";1744,3
"Varkens (totaal)";"1993 december";1746,5
"Varkens (totaal)";"1993";20345
"Varkens (totaal)";"1994 januari";1621,9
"Varkens (totaal)";"1994 februari";1513,8
"Varkens (totaal)";"1994 maart";1775,3
"Varkens (totaal)";"1994 april";1544,9
"Varkens (totaal)";"1994 mei";1588
"Varkens (totaal)";"1994 juni";1618,3
"Varkens (totaal)";"1994 juli";1428,3
"Varkens (totaal)";"1994 augustus";1616,1
"Varkens (totaal)";"1994 september";1696
"Varkens (totaal)";"1994 oktober";1666,3
"Varkens (totaal)";"1994 november";1694,5
"Varkens (totaal)";"1994 december";1632,1
"Varkens (totaal)";"1994";19395,5
"Varkens (totaal)";"1995 januari";1595,8
"Varkens (totaal)";"1995 februari";1475,6
"Varkens (totaal)";"1995 maart";1742,1
"Varkens (totaal)";"1995 april";1436,7
"Varkens (totaal)";"1995 mei";1604,1
"Varkens (totaal)";"1995 juni";1563,3
"Varkens (totaal)";"1995 juli";1411,5
"Varkens (totaal)";"1995 augustus";1590,2
"Varkens (totaal)";"1995 september";1546,4
"Varkens (totaal)";"1995 oktober";1628,6
"Varkens (totaal)";"1995 november";1601,3
"Varkens (totaal)";"1995 december";1420
"Varkens (totaal)";"1995";18615,6
"Varkens (totaal)";"1996 januari";1628,8
"Varkens (totaal)";"1996 februari";1509,8
"Varkens (totaal)";"1996 maart";1556,1
"Varkens (totaal)";"1996 april";1503,2
"Varkens (totaal)";"1996 mei";1565,7
"Varkens (totaal)";"1996 juni";1364,7
"Varkens (totaal)";"1996 juli";1622,2
"Varkens (totaal)";"1996 augustus";1497,1
"Varkens (totaal)";"1996 september";1498,3
"Varkens (totaal)";"1996 oktober";1687,4
"Varkens (totaal)";"1996 november";1544,1
"Varkens (totaal)";"1996 december";1503,1
"Varkens (totaal)";"1996";18480,5
"Varkens (totaal)";"1997 januari";1678,3
"Varkens (totaal)";"1997 februari";1435,8
"Varkens (totaal)";"1997 maart";1285,6
"Varkens (totaal)";"1997 april";1169,8
"Varkens (totaal)";"1997 mei";1159,5
"Varkens (totaal)";"1997 juni";1118,2
"Varkens (totaal)";"1997 juli";1214,7
"Varkens (totaal)";"1997 augustus";1020,8
"Varkens (totaal)";"1997 september";1195,8
"Varkens (totaal)";"1997 oktober";1356,6
"Varkens (totaal)";"1997 november";1281,6
"Varkens (totaal)";"1997 december";1394,9
"Varkens (totaal)";"1997";15311,6
"Varkens (totaal)";"1998 januari";1504
"Varkens (totaal)";"1998 februari";1407,8
"Varkens (totaal)";"1998 maart";1539,4
"Varkens (totaal)";"1998 april";1540,4
"Varkens (totaal)";"1998 mei";1566,3
"Varkens (totaal)";"1998 juni";1521,3
"Varkens (totaal)";"1998 juli";1620,8
"Varkens (totaal)";"1998 augustus";1522,6
"Varkens (totaal)";"1998 september";1759,3
"Varkens (totaal)";"1998 oktober";1793,2
"Varkens (totaal)";"1998 november";1744,8
"Varkens (totaal)";"1998 december";1757,5
"Varkens (totaal)";"1998";19277,4
"Varkens (totaal)";"1999 januari";1578,6
"Varkens (totaal)";"1999 februari";1506,4
"Varkens (totaal)";"1999 maart";1781
"Varkens (totaal)";"1999 april";1583,7
"Varkens (totaal)";"1999 mei";1506
"Varkens (totaal)";"1999 juni";1626,7
"Varkens (totaal)";"1999 juli";1623,8
"Varkens (totaal)";"1999 augustus";1613,2
"Varkens (totaal)";"1999 september";1681,7
"Varkens (totaal)";"1999 oktober";1624,3
"Varkens (totaal)";"1999 november";1712,5
"Varkens (totaal)";"1999 december";1716,1
"Varkens (totaal)";"1999";19554
"Varkens (totaal)";"2000 januari";1576,7
"Varkens (totaal)";"2000 februari";1579,3
"Varkens (totaal)";"2000 maart";1651,2
"Varkens (totaal)";"2000 april";1402,9
"Varkens (totaal)";"2000 mei";1647,8
"Varkens (totaal)";"2000 juni";1458,8
"Varkens (totaal)";"2000 juli";1460,3
"Varkens (totaal)";"2000 augustus";1618,3
"Varkens (totaal)";"2000 september";1514,8
"Varkens (totaal)";"2000 oktober";1601,9
"Varkens (totaal)";"2000 november";1644,1
"Varkens (totaal)";"2000 december";1407,7
"Varkens (totaal)";"2000";18563,8
"Varkens (totaal)";"2001 januari";1620,4
"Varkens (totaal)";"2001 februari";1366,1
"Varkens (totaal)";"2001 maart";852,9
"Varkens (totaal)";"2001 april";561,6
"Varkens (totaal)";"2001 mei";1419,9
"Varkens (totaal)";"2001 juni";1480,9
"Varkens (totaal)";"2001 juli";1430,5
"Varkens (totaal)";"2001 augustus";1484,1
"Varkens (totaal)";"2001 september";1287
"Varkens (totaal)";"2001 oktober";1536
"Varkens (totaal)";"2001 november";1412,7
"Varkens (totaal)";"2001 december";1248,5
"Varkens (totaal)";"2001";15700,6
"Varkens (totaal)";"2002 januari";1472,5
"Varkens (totaal)";"2002 februari";1227,9
"Varkens (totaal)";"2002 maart";1336,2
"Varkens (totaal)";"2002 april";1272
"Varkens (totaal)";"2002 mei";1370,5
"Varkens (totaal)";"2002 juni";1166,4
"Varkens (totaal)";"2002 juli";1233,9
"Varkens (totaal)";"2002 augustus";1240,3
"Varkens (totaal)";"2002 september";1312,2
"Varkens (totaal)";"2002 oktober";1362,5
"Varkens (totaal)";"2002 november";1236,4
"Varkens (totaal)";"2002 december";1170,4
"Varkens (totaal)";"2002";15401,2
"Varkens (totaal)";"2003 januari";1318,2
"Varkens (totaal)";"2003 februari";1121,5
"Varkens (totaal)";"2003 maart";1165,1
"Varkens (totaal)";"2003 april";1055,7
"Varkens (totaal)";"2003 mei";1170,8
"Varkens (totaal)";"2003 juni";1082,1
"Varkens (totaal)";"2003 juli";1168,8
"Varkens (totaal)";"2003 augustus";1015,8
"Varkens (totaal)";"2003 september";1183
"Varkens (totaal)";"2003 oktober";1266,6
"Varkens (totaal)";"2003 november";1148
"Varkens (totaal)";"2003 december";1193,8
"Varkens (totaal)";"2003";13889,4
"Varkens (totaal)";"2004 januari";1239,6
"Varkens (totaal)";"2004 februari";1113,9
"Varkens (totaal)";"2004 maart";1306,7
"Varkens (totaal)";"2004 april";1149,2
"Varkens (totaal)";"2004 mei";1074
"Varkens (totaal)";"2004 juni";1245
"Varkens (totaal)";"2004 juli";1154,5
"Varkens (totaal)";"2004 augustus";1106
"Varkens (totaal)";"2004 september";1220,9
"Varkens (totaal)";"2004 oktober";1182,9
"Varkens (totaal)";"2004 november";1238,5
"Varkens (totaal)";"2004 december";1309,8
"Varkens (totaal)";"2004";14341
"Varkens (totaal)";"2005 januari";1209,5
"Varkens (totaal)";"2005 februari";1135,4
"Varkens (totaal)";"2005 maart";1263,2
"Varkens (totaal)";"2005 april";1184
"Varkens (totaal)";"2005 mei";1187,9
"Varkens (totaal)";"2005 juni";1185,3
"Varkens (totaal)";"2005 juli";1073,6
"Varkens (totaal)";"2005 augustus";1239
"Varkens (totaal)";"2005 september";1220,5
"Varkens (totaal)";"2005 oktober";1208,6
"Varkens (totaal)";"2005 november";1271,7
"Varkens (totaal)";"2005 december";1210,1
"Varkens (totaal)";"2005";14388,8
"Varkens (totaal)";"2006 januari";1222,7
"Varkens (totaal)";"2006 februari";1058
"Varkens (totaal)";"2006 maart";1272,9
"Varkens (totaal)";"2006 april";1108,4
"Varkens (totaal)";"2006 mei";1436,5
"Varkens (totaal)";"2006 juni";1170,9
"Varkens (totaal)";"2006 juli";1010,6
"Varkens (totaal)";"2006 augustus";1097,5
"Varkens (totaal)";"2006 september";1140,9
"Varkens (totaal)";"2006 oktober";1232,8
"Varkens (totaal)";"2006 november";1226,2
"Varkens (totaal)";"2006 december";1049,6
"Varkens (totaal)";"2006";14027
"Varkens (totaal)";"2007 januari";1242,2
"Varkens (totaal)";"2007 februari";1218
"Varkens (totaal)";"2007 maart";1214,5
"Varkens (totaal)";"2007 april";1040,4
"Varkens (totaal)";"2007 mei";1152,3
"Varkens (totaal)";"2007 juni";1110,7
"Varkens (totaal)";"2007 juli";1130,2
"Varkens (totaal)";"2007 augustus";1224,6
"Varkens (totaal)";"2007 september";1139,6
"Varkens (totaal)";"2007 oktober";1334,8
"Varkens (totaal)";"2007 november";1295,9
"Varkens (totaal)";"2007 december";1084
"Varkens (totaal)";"2007";14187,2
"Varkens (totaal)";"2008 januari";1326,1
"Varkens (totaal)";"2008 februari";1244,5
"Varkens (totaal)";"2008 maart";1176,6
"Varkens (totaal)";"2008 april";1271,2
"Varkens (totaal)";"2008 mei";1180,1
"Varkens (totaal)";"2008 juni";1227,9
"Varkens (totaal)";"2008 juli";1159,3
"Varkens (totaal)";"2008 augustus";1092,8
"Varkens (totaal)";"2008 september";1211,3
"Varkens (totaal)";"2008 oktober";1287,8
"Varkens (totaal)";"2008 november";1100,6
"Varkens (totaal)";"2008 december";1152,1
"Varkens (totaal)";"2008";14430,3
"Varkens (totaal)";"2009 januari";1161,5
"Varkens (totaal)";"2009 februari";1055,3
"Varkens (totaal)";"2009 maart";1166,4
"Varkens (totaal)";"2009 april";1094,7
"Varkens (totaal)";"2009 mei";1063,6
"Varkens (totaal)";"2009 juni";1083
"Varkens (totaal)";"2009 juli";1210,3
"Varkens (totaal)";"2009 augustus";1093,9
"Varkens (totaal)";"2009 september";1190,1
"Varkens (totaal)";"2009 oktober";1254,9
"Varkens (totaal)";"2009 november";1238,7
"Varkens (totaal)";"2009 december";1203,2
"Varkens (totaal)";"2009";13815,6
"Varkens (totaal)";"2010 januari";1190,4
"Varkens (totaal)";"2010 februari";1079
"Varkens (totaal)";"2010 maart";1298,5
"Varkens (totaal)";"2010 april";1152,2
"Varkens (totaal)";"2010 mei";1051,2
"Varkens (totaal)";"2010 juni";1143
"Varkens (totaal)";"2010 juli";1030
"Varkens (totaal)";"2010 augustus";1174,6
"Varkens (totaal)";"2010 september";1205,9
"Varkens (totaal)";"2010 oktober";1156,6
"Varkens (totaal)";"2010 november";1247
"Varkens (totaal)";"2010 december";1215,2
"Varkens (totaal)";"2010";13943,6
"Varkens (totaal)";"2011 januari";1244,8
"Varkens (totaal)";"2011 februari";1206,4
"Varkens (totaal)";"2011 maart";1309,9
"Varkens (totaal)";"2011 april";1165
"Varkens (totaal)";"2011 mei";1192,1
"Varkens (totaal)";"2011 juni";1193,8
"Varkens (totaal)";"2011 juli";1070,3
"Varkens (totaal)";"2011 augustus";1263,9
"Varkens (totaal)";"2011 september";1257,3
"Varkens (totaal)";"2011 oktober";1250,1
"Varkens (totaal)";"2011 november";1266,5
"Varkens (totaal)";"2011 december";1173,5
"Varkens (totaal)";"2011";14593,7
"Varkens (totaal)";"2012 januari";1244,6
"Varkens (totaal)";"2012 februari";1211,7
"Varkens (totaal)";"2012 maart";1283,6
"Varkens (totaal)";"2012 april";1066,9
"Varkens (totaal)";"2012 mei";1299,6
"Varkens (totaal)";"2012 juni";1128,7
"Varkens (totaal)";"2012 juli";1125,6
"Varkens (totaal)";"2012 augustus";1202,9
"Varkens (totaal)";"2012 september";1088
"Varkens (totaal)";"2012 oktober";1284,6
"Varkens (totaal)";"2012 november";1324,1
"Varkens (totaal)";"2012 december";1057,4
"Varkens (totaal)";"2012";14317,7
"Varkens (totaal)";"2013 januari";1290,9
"Varkens (totaal)";"2013 februari";1080,8
"Varkens (totaal)";"2013 maart";1176
"Varkens (totaal)";"2013 april";1332,4
"Varkens (totaal)";"2013 mei";1201,4
"Varkens (totaal)";"2013 juni";1048,5
"Varkens (totaal)";"2013 juli";1059,7
"Varkens (totaal)";"2013 augustus";1093,8
"Varkens (totaal)";"2013 september";1154,9
"Varkens (totaal)";"2013 oktober";1283,1
"Varkens (totaal)";"2013 november";1175
"Varkens (totaal)";"2013 december";1117,2
"Varkens (totaal)";"2013";14013,6
"Varkens (totaal)";"2014 januari";1272,4
"Varkens (totaal)";"2014 februari";1169,6
"Varkens (totaal)";"2014 maart";1154,3
"Varkens (totaal)";"2014 april";1124,3
"Varkens (totaal)";"2014 mei";1153,7
"Varkens (totaal)";"2014 juni";1203,4
"Varkens (totaal)";"2014 juli";1291,5
"Varkens (totaal)";"2014 augustus";1199,6
"Varkens (totaal)";"2014 september";1242,6
"Varkens (totaal)";"2014 oktober";1323,3
"Varkens (totaal)";"2014 november";1304,2
"Varkens (totaal)";"2014 december";1157,1
"Varkens (totaal)";"2014";14595,9
"Varkens (totaal)";"2015 januari";1230,6
"Varkens (totaal)";"2015 februari";1337,2
"Varkens (totaal)";"2015 maart";1307,2
"Varkens (totaal)";"2015 april";1210,7
"Varkens (totaal)";"2015 mei";1339,2
"Varkens (totaal)";"2015 juni";1227,4
"Varkens (totaal)";"2015 juli";1207
"Varkens (totaal)";"2015 augustus";1136,6
"Varkens (totaal)";"2015 september";1385,1
"Varkens (totaal)";"2015 oktober";1373,7
"Varkens (totaal)";"2015 november";1478,6
"Varkens (totaal)";"2015 december";1251,7
"Varkens (totaal)";"2015";15485,1
"Varkens (totaal)";"2016 januari";1209,3
"Varkens (totaal)";"2016 februari";1200,9
"Varkens (totaal)";"2016 maart";1422,5
"Varkens (totaal)";"2016 april";1248
"Varkens (totaal)";"2016 mei";1249,1
"Varkens (totaal)";"2016 juni";1474,5
"Varkens (totaal)";"2016 juli";1205,1
"Varkens (totaal)";"2016 augustus";1304,5
"Varkens (totaal)";"2016 september";1264,7
"Varkens (totaal)";"2016 oktober";1176,1
"Varkens (totaal)";"2016 november";1305,6
"Varkens (totaal)";"2016 december";1313,4
"Varkens (totaal)";"2016";15373,9
"Varkens (totaal)";"2017 januari";1349,2
"Varkens (totaal)";"2017 februari";1167,1
"Varkens (totaal)";"2017 maart";1365
"Varkens (totaal)";"2017 april";1046,5
"Varkens (totaal)";"2017 mei";1388,3
"Varkens (totaal)";"2017 juni";1266,6
"Varkens (totaal)";"2017 juli";1154,9
"Varkens (totaal)";"2017 augustus";1330,9
"Varkens (totaal)";"2017 september";1260,7
"Varkens (totaal)";"2017 oktober";1215,7
"Varkens (totaal)";"2017 november";1385,4
"Varkens (totaal)";"2017 december";1238,7
"Varkens (totaal)";"2017";15169
"Varkens (totaal)";"2018 januari";1431,6
"Varkens (totaal)";"2018 februari";1218,6
"Varkens (totaal)";"2018 maart";1476,1
"Varkens (totaal)";"2018 april";1141,7
"Varkens (totaal)";"2018 mei";1384,4
"Varkens (totaal)";"2018 juni";1229,7
"Varkens (totaal)";"2018 juli";1311,2
"Varkens (totaal)";"2018 augustus";1299
"Varkens (totaal)";"2018 september";1329,2
"Varkens (totaal)";"2018 oktober";1525,5
"Varkens (totaal)";"2018 november";1349,3
"Varkens (totaal)";"2018 december";1210,7
"Varkens (totaal)";"2018";15907
"Varkens (totaal)";"2019 januari";1384
"Varkens (totaal)";"2019 februari";1337,3
"Varkens (totaal)";"2019 maart";1294,2
"Varkens (totaal)";"2019 april";1305,9
"Varkens (totaal)";"2019 mei";1676,9
"Varkens (totaal)";"2019 juni";1142,2
"Varkens (totaal)";"2019 juli";1343,1
"Varkens (totaal)";"2019 augustus";1322,5
"Varkens (totaal)";"2019 september";1390,5
"Varkens (totaal)";"2019 oktober";1502,6
"Varkens (totaal)";"2019 november";1470
"Varkens (totaal)";"2019 december";1414,6
"Varkens (totaal)";"2019";16583,8
"Varkens (totaal)";"2020 januari";1499,8
"Varkens (totaal)";"2020 februari";1304,8
"Varkens (totaal)";"2020 maart";1389,5
"Varkens (totaal)";"2020 april";1311,8
"Varkens (totaal)";"2020 mei";1221,6
"Varkens (totaal)";"2020 juni";1198,4
"Varkens (totaal)";"2020 juli";1440,3
"Varkens (totaal)";"2020 augustus";1313,3
"Varkens (totaal)";"2020 september";1421,6
"Varkens (totaal)";"2020 oktober";1509,8
"Varkens (totaal)";"2020 november";1520,1
"Varkens (totaal)";"2020 december";1535
"Varkens (totaal)";"2020";16666,1
"Varkens (totaal)";"2021 januari";1438,4
"Varkens (totaal)";"2021 februari";1399
"Varkens (totaal)";"2021 maart";1613,2
"Varkens (totaal)";"2021 april";1391,2
"Varkens (totaal)";"2021 mei";1326,6
"Varkens (totaal)";"2021 juni";1451,2
"Varkens (totaal)";"2021 juli";1364,3
"Varkens (totaal)";"2021 augustus";1403,3
"Varkens (totaal)";"2021 september";1455,1
"Varkens (totaal)";"2021 oktober";1392,3
"Varkens (totaal)";"2021 november";1509,2
"Varkens (totaal)";"2021 december";1493,2
"Varkens (totaal)";"2021";17236,8
"Varkens (totaal)";"2022 januari*";1465,8
"Varkens (totaal)";"2022 februari*";1372,3
"Varkens (totaal)";"2022 maart*";1530,1
"Varkens (totaal)";"2022 april*";1283,3
"Varkens (totaal)";"2022 mei*";1421,5
"Varkens (totaal)";"2022 juni*";1426,1
"Schapen incl. lammeren";"1990 januari";42,1
"Schapen incl. lammeren";"1990 februari";38,9
"Schapen incl. lammeren";"1990 maart";49,6
"Schapen incl. lammeren";"1990 april";49,5
"Schapen incl. lammeren";"1990 mei";53,3
"Schapen incl. lammeren";"1990 juni";50
"Schapen incl. lammeren";"1990 juli";64,6
"Schapen incl. lammeren";"1990 augustus";55,1
"Schapen incl. lammeren";"1990 september";54,3
"Schapen incl. lammeren";"1990 oktober";63,1
"Schapen incl. lammeren";"1990 november";56,9
"Schapen incl. lammeren";"1990 december";56,2
"Schapen incl. lammeren";"1990";633,6
"Schapen incl. lammeren";"1991 januari";56,2
"Schapen incl. lammeren";"1991 februari";47,7
"Schapen incl. lammeren";"1991 maart";44,2
"Schapen incl. lammeren";"1991 april";48,8
"Schapen incl. lammeren";"1991 mei";59,2
"Schapen incl. lammeren";"1991 juni";72,1
"Schapen incl. lammeren";"1991 juli";49
"Schapen incl. lammeren";"1991 augustus";53,6
"Schapen incl. lammeren";"1991 september";60,1
"Schapen incl. lammeren";"1991 oktober";60,1
"Schapen incl. lammeren";"1991 november";52,5
"Schapen incl. lammeren";"1991 december";59,8
"Schapen incl. lammeren";"1991";663,3
"Schapen incl. lammeren";"1992 januari";53,2
"Schapen incl. lammeren";"1992 februari";50,8
"Schapen incl. lammeren";"1992 maart";57,9
"Schapen incl. lammeren";"1992 april";59,3
"Schapen incl. lammeren";"1992 mei";55,3
"Schapen incl. lammeren";"1992 juni";89
"Schapen incl. lammeren";"1992 juli";47,1
"Schapen incl. lammeren";"1992 augustus";49,4
"Schapen incl. lammeren";"1992 september";58,6
"Schapen incl. lammeren";"1992 oktober";56,6
"Schapen incl. lammeren";"1992 november";54,1
"Schapen incl. lammeren";"1992 december";62,4
"Schapen incl. lammeren";"1992";693,7
"Schapen incl. lammeren";"1993 januari";49,2
"Schapen incl. lammeren";"1993 februari";55,2
"Schapen incl. lammeren";"1993 maart";70,1
"Schapen incl. lammeren";"1993 april";67,6
"Schapen incl. lammeren";"1993 mei";79,5
"Schapen incl. lammeren";"1993 juni";73,1
"Schapen incl. lammeren";"1993 juli";57,8
"Schapen incl. lammeren";"1993 augustus";61,6
"Schapen incl. lammeren";"1993 september";63,9
"Schapen incl. lammeren";"1993 oktober";57,3
"Schapen incl. lammeren";"1993 november";64,1
"Schapen incl. lammeren";"1993 december";62,4
"Schapen incl. lammeren";"1993";761,8
"Schapen incl. lammeren";"1994 januari";54,5
"Schapen incl. lammeren";"1994 februari";54
"Schapen incl. lammeren";"1994 maart";59,9
"Schapen incl. lammeren";"1994 april";49,3
"Schapen incl. lammeren";"1994 mei";94,2
"Schapen incl. lammeren";"1994 juni";51,5
"Schapen incl. lammeren";"1994 juli";45,3
"Schapen incl. lammeren";"1994 augustus";58,9
"Schapen incl. lammeren";"1994 september";56,6
"Schapen incl. lammeren";"1994 oktober";52,9
"Schapen incl. lammeren";"1994 november";52,7
"Schapen incl. lammeren";"1994 december";54,5
"Schapen incl. lammeren";"1994";684,3
"Schapen incl. lammeren";"1995 januari";51,7
"Schapen incl. lammeren";"1995 februari";46,6
"Schapen incl. lammeren";"1995 maart";47,3
"Schapen incl. lammeren";"1995 april";47
"Schapen incl. lammeren";"1995 mei";88,1
"Schapen incl. lammeren";"1995 juni";46,8
"Schapen incl. lammeren";"1995 juli";44,3
"Schapen incl. lammeren";"1995 augustus";54,2
"Schapen incl. lammeren";"1995 september";49,1
"Schapen incl. lammeren";"1995 oktober";52,9
"Schapen incl. lammeren";"1995 november";49,3
"Schapen incl. lammeren";"1995 december";48,5
"Schapen incl. lammeren";"1995";625,8
"Schapen incl. lammeren";"1996 januari";55
"Schapen incl. lammeren";"1996 februari";46,8
"Schapen incl. lammeren";"1996 maart";48,9
"Schapen incl. lammeren";"1996 april";98,6
"Schapen incl. lammeren";"1996 mei";60
"Schapen incl. lammeren";"1996 juni";57,1
"Schapen incl. lammeren";"1996 juli";58,1
"Schapen incl. lammeren";"1996 augustus";59
"Schapen incl. lammeren";"1996 september";60,1
"Schapen incl. lammeren";"1996 oktober";60,5
"Schapen incl. lammeren";"1996 november";48,4
"Schapen incl. lammeren";"1996 december";53,9
"Schapen incl. lammeren";"1996";706,4
"Schapen incl. lammeren";"1997 januari";54,8
"Schapen incl. lammeren";"1997 februari";42,5
"Schapen incl. lammeren";"1997 maart";39,4
"Schapen incl. lammeren";"1997 april";63,1
"Schapen incl. lammeren";"1997 mei";48,7
"Schapen incl. lammeren";"1997 juni";49,9
"Schapen incl. lammeren";"1997 juli";48,6
"Schapen incl. lammeren";"1997 augustus";46,6
"Schapen incl. lammeren";"1997 september";51,6
"Schapen incl. lammeren";"1997 oktober";48,8
"Schapen incl. lammeren";"1997 november";43,6
"Schapen incl. lammeren";"1997 december";58,8
"Schapen incl. lammeren";"1997";596,4
"Schapen incl. lammeren";"1998 januari";48,8
"Schapen incl. lammeren";"1998 februari";42,1
"Schapen incl. lammeren";"1998 maart";47,3
"Schapen incl. lammeren";"1998 april";89,5
"Schapen incl. lammeren";"1998 mei";48,8
"Schapen incl. lammeren";"1998 juni";54,4
"Schapen incl. lammeren";"1998 juli";47
"Schapen incl. lammeren";"1998 augustus";50
"Schapen incl. lammeren";"1998 september";49,2
"Schapen incl. lammeren";"1998 oktober";51
"Schapen incl. lammeren";"1998 november";48,1
"Schapen incl. lammeren";"1998 december";58,8
"Schapen incl. lammeren";"1998";635
"Schapen incl. lammeren";"1999 januari";43,4
"Schapen incl. lammeren";"1999 februari";40,8
"Schapen incl. lammeren";"1999 maart";97,7
"Schapen incl. lammeren";"1999 april";46,3
"Schapen incl. lammeren";"1999 mei";50,4
"Schapen incl. lammeren";"1999 juni";54,9
"Schapen incl. lammeren";"1999 juli";49,1
"Schapen incl. lammeren";"1999 augustus";49,7
"Schapen incl. lammeren";"1999 september";56,6
"Schapen incl. lammeren";"1999 oktober";50,1
"Schapen incl. lammeren";"1999 november";54,1
"Schapen incl. lammeren";"1999 december";66,2
"Schapen incl. lammeren";"1999";659,3
"Schapen incl. lammeren";"2000 januari";54,9
"Schapen incl. lammeren";"2000 februari";54,2
"Schapen incl. lammeren";"2000 maart";106,2
"Schapen incl. lammeren";"2000 april";59,2
"Schapen incl. lammeren";"2000 mei";65,9
"Schapen incl. lammeren";"2000 juni";59,9
"Schapen incl. lammeren";"2000 juli";46,4
"Schapen incl. lammeren";"2000 augustus";54,4
"Schapen incl. lammeren";"2000 september";52,6
"Schapen incl. lammeren";"2000 oktober";58,5
"Schapen incl. lammeren";"2000 november";64,2
"Schapen incl. lammeren";"2000 december";59,5
"Schapen incl. lammeren";"2000";735,9
"Schapen incl. lammeren";"2001 januari";55,8
"Schapen incl. lammeren";"2001 februari";45,8
"Schapen incl. lammeren";"2001 maart";29,5
"Schapen incl. lammeren";"2001 april";22
"Schapen incl. lammeren";"2001 mei";76,4
"Schapen incl. lammeren";"2001 juni";79,4
"Schapen incl. lammeren";"2001 juli";83,5
"Schapen incl. lammeren";"2001 augustus";89,5
"Schapen incl. lammeren";"2001 september";87,1
"Schapen incl. lammeren";"2001 oktober";93,3
"Schapen incl. lammeren";"2001 november";96,9
"Schapen incl. lammeren";"2001 december";76,7
"Schapen incl. lammeren";"2001";835,9
"Schapen incl. lammeren";"2002 januari";65,4
"Schapen incl. lammeren";"2002 februari";90,3
"Schapen incl. lammeren";"2002 maart";50,7
"Schapen incl. lammeren";"2002 april";51,1
"Schapen incl. lammeren";"2002 mei";58,6
"Schapen incl. lammeren";"2002 juni";50,8
"Schapen incl. lammeren";"2002 juli";51,4
"Schapen incl. lammeren";"2002 augustus";50,1
"Schapen incl. lammeren";"2002 september";52,5
"Schapen incl. lammeren";"2002 oktober";56,1
"Schapen incl. lammeren";"2002 november";48,9
"Schapen incl. lammeren";"2002 december";51,8
"Schapen incl. lammeren";"2002";677,7
"Schapen incl. lammeren";"2003 januari";41,8
"Schapen incl. lammeren";"2003 februari";83,5
"Schapen incl. lammeren";"2003 maart";43,3
"Schapen incl. lammeren";"2003 april";55,4
"Schapen incl. lammeren";"2003 mei";57,2
"Schapen incl. lammeren";"2003 juni";55,8
"Schapen incl. lammeren";"2003 juli";45,7
"Schapen incl. lammeren";"2003 augustus";46,4
"Schapen incl. lammeren";"2003 september";51,9
"Schapen incl. lammeren";"2003 oktober";57
"Schapen incl. lammeren";"2003 november";43,7
"Schapen incl. lammeren";"2003 december";47,8
"Schapen incl. lammeren";"2003";629,5
"Schapen incl. lammeren";"2004 januari";42,1
"Schapen incl. lammeren";"2004 februari";83
"Schapen incl. lammeren";"2004 maart";50,1
"Schapen incl. lammeren";"2004 april";53,1
"Schapen incl. lammeren";"2004 mei";48,8
"Schapen incl. lammeren";"2004 juni";56,7
"Schapen incl. lammeren";"2004 juli";41,4
"Schapen incl. lammeren";"2004 augustus";49,6
"Schapen incl. lammeren";"2004 september";49,5
"Schapen incl. lammeren";"2004 oktober";51,3
"Schapen incl. lammeren";"2004 november";48,5
"Schapen incl. lammeren";"2004 december";46,7
"Schapen incl. lammeren";"2004";620,8
"Schapen incl. lammeren";"2005 januari";86,5
"Schapen incl. lammeren";"2005 februari";35,6
"Schapen incl. lammeren";"2005 maart";46,3
"Schapen incl. lammeren";"2005 april";44,7
"Schapen incl. lammeren";"2005 mei";53,3
"Schapen incl. lammeren";"2005 juni";51,4
"Schapen incl. lammeren";"2005 juli";40,6
"Schapen incl. lammeren";"2005 augustus";51,9
